Videocard Name,Price (USD)
Quadro M4000,362
Quadro T1000 with Max-Q Design,
Quadro P3000,
Quadro M4000M,254.91
Quadro T1000,441.99
T600,249
GeForce GTX 1650 Ti with Max-Q Design,
Radeon Pro 570,
GeForce GTX 1050 Ti,189.42
Radeon R9 280X,
FirePro S7150,1697.99
Radeon R9 380,89.99
Radeon R9 380X,349.99
FirePro W9000,845
Radeon Pro WX Vega M GL,
GeForce GTX 960,172
P106-100,
GRID P100-16Q,
GeForce GTX 1050 Ti (Mobile),
Radeon PRO W6400,
GeForce GTX 770,249
GeForce GTX 1650 with Max-Q Design,
Radeon Pro 5300M,
A16,
Quadro K5200,415
GeForce GTX 970M,209.99
Radeon Pro WX 7130,
Quadro M3000M,159.95
Tesla K20m,
Radeon R9 280,
GeForce GTX 690,280.99
A40-12Q,
Radeon HD 7990,399.99
Radeon R9 285 / 380,485
GeForce GTX 680,399
GRID M60-8A,
Radeon Pro WX 5100,550.95
Tesla K20Xm,
GeForce GTX 760 Ti OEM,
GeForce GTX 950,141.99
GeForce GTX 1050 Ti with Max-Q Design,
FirePro S10000,
GeForce GTX 670,193.98
Radeon HD 7970 / R9 280X,246.99
Radeon HD 8990,
GeForce GTX 760 Ti,297.5
Radeon Ryzen 7 4800H,
FirePro W7100,389.3
Q12U-1,
Radeon R9 M295X,1449
Radeon Pro Vega 20,
GeForce GTX 1050,203.1
GeForce MX550,
FirePro S9000,
Ryzen 9 5900HS with Radeon Graphics,
T550 Laptop GPU,
Radeon R9 M395,
EIZO Quadro MED-XN51LP,
Barco MXRT 7600,602.59
Radeon R9 270X,326.5
FirePro S9050,
GRID RTX6000P-6Q,
GeForce GTX 760,149
Radeon R9 M395X,
Radeon HD 7950 / R9 280,259.98
Radeon Sky 500,
GRID P40-24Q,
Radeon R9 370,159.99
Radeon Pro Vega 16,
Radeon HD 7870,176
Quadro P2000 with Max-Q Design,
B8DKMDAP,
GeForce GTX 580,139.92
Radeon Pro 465,
Radeon R7 370,
Radeon HD 7870 XT,
Quadro P1000,213.2
GeForce GTX 1050 (Mobile),
GRID M60-1B,
P104-100,299.99
Citrix Indirect Display Adapter,
GRID P6-4Q,
GeForce GTX 660 Ti,144
Quadro M2200,249.99
FirePro W7000 Adapter,
GRID GTX P40-6,
Quadro K4200,249
Barco MXRT 7500,299
GRID M60-2Q,
Radeon R9 270,
GRID P40-2Q,
GRID T4-8Q,
GRID RTX6000P-4Q,
FirePro W7000,278.05
GeForce GTX 680MX,
Radeon R9 270 / R7 370,213.16
GRID M60-1Q,
GeForce GTX 775M,
FirePro S7000,246.54
GRID V100D-8Q,
FirePro W8000,573
Radeon RX 460,166.81
GeForce GTX 480,169.99
Radeon HD 7800-serie,
Radeon RX 5500M,
GeForce GTX 660,167.95
GRID RTX8000-4Q,
Quadro M2000,264.24
GRID P6-2Q,
GeForce GTX 750 Ti,88.11
GeForce GTX 570,149.99
Quadro K5000,249
