Videocard Name,Price (USD)
7900 MOD - Radeon HD 6550D,
FirePro W2100,59
Intel UHD 620,
Radeon Vega 3,2677.99
Radeon R7 + R5 435 Dual A10-9700 RADEON,
Radeon R7 A10-8750,
Radeon HD 8650G + 7670M Dual,
Radeon R7 M365X,
Radeon R7 PRO A12-8830B,
Radeon HD 7660G + HD 7730M Dual,
GeForce GT 445M,
"Radeon R5 A6-9500 RADEON R5, 8 COMPUTE CORES 2C+6G",
Radeon E6760,239.99
LMIMIRR,
GeForce 920A,
Radeon R7 G,
Radeon HD 8570D + HD 6570 Dual,
Intel HD 520,
Mobility Radeon HD 4850,
"Radeon R5 PRO A6-8570E R5, 6 COMPUTE CORES 2C+4G",
Radeon R7 A8-7670K,
Radeon HD 8470D + HD 6450 Dual,
Radeon R7 240,109.99
Radeon R7 M440,
Radeon HD 4830,59.99
Radeon HD 8750M,
Radeon HD 8550G + HD 7600M Dual,
FirePro 3D V4800,159.99
Radeon HD 8500M/8700M,
Radeon R5 A6-9500 2C+6G,
Radeon R7 A8-7500 4C+6G,
GeForce GT 635,66.94
Intel HD 6000,
Intel UHD 617,
Radeon R5 PRO A6-8570 2C+6G,
Radeon R5 435,
Radeon 620,
FireGL V8600,
Radeon HD 8470D + 6570 Dual,
Radeon HD 8670D + R5 235 Dual,
Radeon HD 6650A,
Radeon 520,89.99
Radeon HD 7560D + 6570 Dual,
Radeon HD 7520G + HD 7500/7600 Dual,
Radeon HD 7660G + 7600M Dual,
Radeon HD 8650G + 8600/8700M Dual,
Intel HD 5200,
3DP Edition,1159.99
GRID M60-0Q,
Radeon HD 7640G N HD 7640G + HD 7600M N HD 7600M D,
Radeon HD 3850 X2,
Radeon HD 7540D + 7500 Dual,
Radeon R7 M260DX,
Radeon HD 8650G + HD 7600M Dual,
Radeon HD 8550G + HD 8750M Dual,
GeForce GT 730M,
Radeon R7 A10 Extreme Edition,
Radeon 535DX,
Radeon HD 7670,
GeForce GT 730,109.99
Radeon HD 8670D + 7000 Dual,
GRID K1,395
Radeon R5 A6-7480,
Radeon R8 M445DX,
Radeon HD 8550G + 8600/8700M Dual,
Radeon HD 8650G + HD 8790M Dual,
GeForce 9800 GX2,195
Radeon R7 A8-9600 RADEON,
Radeon HD 8550G + 8750M Dual,
Radeon HD 8650G N HD 8650G + HD 8600/8700M Dual,
Radeon R5 M435,
Radeon HD 8650G + 8750M Dual,
Radeon HD 5670,67
Radeon R7 A8-7600,
Radeon R7 A10-7890K,
Radeon R7 A365,
Radeon R7 PRO A6-9500 2C+6G,
Quadro FX 3800,259.13
GeForce GT 740M,
Radeon HD 8650G + HD 8750M Dual,
GRID P40-4Q,
Radeon HD 7660G + HD 7700M Dual,
Radeon HD 7640G + 7500M/7600M Dual,
Quadro K420,269
Radeon R7 FX-8800P,
RadeonT Vega 3,
GeForce GT 340,52.99
Mobility Radeon HD 5000,
Quadro 2000M,229.74
Quadro K1000M,69.95
Radeon HD 7600M + 7600M Dual,
Radeon HD 8650G N HD 8650G + HD 8570M Dual,
Radeon R7 A10-8850,
Radeon R5 PRO A6-9500E 2C+4G,
Radeon R7 PRO A10-9700,
GeForce 730A,
GeForce 825M,
GeForce 9800 GTX,74.99
Quadro K600,60.24
Radeon HD 4810,
GeForce GT 440,225
Radeon HD 8650G + HD 8600/8700M Dual,
Mobility Radeon HD 5850,
Radeon HD 6450 + 8470D Dual,
Radeon R9 M375,
Intel UHD 615,
Radeon HD 7660G + HD 7500/7600 Dual,
Radeon R7 A12-9720P RADEON,365.48
Intel Iris 5100,
Radeon HD 7660G + HD 8500M Dual,
Radeon HD 8650G + HD 8600M N HD 8600M Dual,
Radeon R7 PRO A10-8750B,
Radeon R7 PRO A10-9700B,
Radeon HD 7660G + 7700M Dual,
Quadro 1100M,
Radeon HD 7640G + 7450M Dual,
Radeon HD 8570D + HD 7000 Dual,
Radeon HD 6650M,
Radeon R7 A8-7680,
IncrediblE HD 4600,
Radeon M535DX,
Radeon R7 A10-7700K,
Radeon HD 7640G + 7650M Dual,
Radeon HD 7660G + HD 8600/8700M Dual,
Radeon HD 7660G + 7610M Dual,
Radeon HD 8670D + R5 330 Dual,
Radeon HD 6670,68.99
Radeon R5 235 + HD 7560D Dual,
GeForce GT 730A,
Radeon HD 7660G + 7670M Dual,
Radeon HD 8650G + 7600M Dual,
Radeon R8 M365DX,
Radeon R7 PRO A8-8650B,
Intel Poison Ivy,
Radeon HD 7670M + 7670M Dual,
Radeon R5 235 + HD 8570D Dual,
Radeon R7 M270,
Radeon R5 A10-9620P 4C+6G,
NVS 510,139.99
Intel UHD 610,
Radeon HD 7550M/7650M,
GRID K140Q,
Radeon R7 FX-9800P RADEON,530
Radeon HD 6800M,
GeForce 720A,
Intel HD 615,
GeForce 920M,
Radeon HD 7660G N HD 7660G + HD 7600M N HD 7600M D,
Radeon HD 8650G + R5 M200 Dual,
Radeon R7 PRO A12-9800B,
Asus GTX 650 FML II EC-EGPU,
Mobility Radeon HD 4870,
Radeon HD 7540D + 6570 Dual,
Radeon HD 8670D + HD 7000 Dual,
"Radeon R5 PRO A8-9600B R5, 10 COMPUTE CORES 4C+6G",
Radeon HD 8470D + 6450 Dual,
Radeon HD 8650G + HD 8570M Dual,
"Radeon R5 A10-9600P RADEON R5, 10 COMPUTE CORES 4C",
Intel HD 5600,
Radeon HD 7660G + HD 8670M Dual,
Radeon HD 3870 X2,
Quadro K610M,240
Radeon HD 6550A,
Radeon HD 7660G + HD 7670M Dual,
Radeon HD 7640G + 7600M Dual,
Radeon HD 7660G N HD 7660G + HD 7670M Dual,
Tesla K40m,
Radeon HD 7640G + HD 7600M Dual,
Radeon R7 A8-7650K,
Radeon R7 A12-9700P RADEON,435.92
GeForce GT 740A,
Radeon HD 7570M/HD 7670M,
TRINITY DEVASTATOR MOBILE,
Radeon R5 PRO A10-8730B 4C+6G,
Radeon R5 PRO A6-9500B 2C+4G,
Radeon HD 7640G + 7700M Dual,
Radeon R7 A10-7800,
Radeon R5 PRO A6-8530B 2C+4G,
Radeon R7E,
Radeon HD 7640G + 8600/8700M Dual,
GeForce GT 555M,177.2
Radeon HD 8650G + R5 M230 Dual,
Radeon HD 6630M,
Radeon HD 8550D,
GeForce GT 630,147.01
GRID P40-3Q,
Radeon HD 7640G N HD 7640G + HD 7670M Dual,
Radeon HD 8650G N HD 8650G + HD 8600M N HD 8600M D,
GeForce GTS 160M,
Radeon HD 7640G + HD 8670M Dual,
GeForce GT 530,49
GeForce GTX 285M,
Quadro FX 4700 X2,
Radeon HD 8610G + R5 M200 Dual,
Radeon R7 A360,
GeForce GT 640M LE,849.99
Intel HD 610,
Radeon R8 M535DX,
Radeon HD 7640G + HD 8500M N HD 8500M Dual,
FirePro M7740,
Quadro 500M,275.14
Radeon HD 8550G + 8690M Dual,
FirePro V3900,238.44
Radeon HD 5600/5700,
FireGL V7700,69.99
Radeon HD 2900 XT,
Radeon HD 8730M,
Radeon R5 PRO A8-9600B 4C+6G,
GeForce GT 140,
Radeon R6,
GeForce GTS 360M,
Radeon HD 7640G + 8750M Dual,
Radeon HD 8550G + HD 8600/8700M Dual,
Professional HD Driver,
Radeon HD 8650G + 8570M Dual,
Radeon HD 7520G + HD 8750M Dual,
SUMO 9640,
Radeon R5 M430,
FireStream 9170,
Radeon HD 6670 + 6670 Dual,
Radeon HD 8610G + HD 8500M Dual,
Radeon R7 M340,
Radeon HD 7640G + 7670M Dual,
Radeon HD 7540D + HD 6450 Dual,
Radeon R7 PRO A12-8800B,
GeForce 8800 Ultra,
Radeon R5 PRO A6-8570E 2C+4G,
GeForce GT 710,102.99
Radeon HD 7640G + 7400M Dual,
Radeon HD 8450G + 8750M Dual,
GeForce 9800 S,
Matrox C420 LP PCIe x16,
NVS 5400M,
Radeon HD 8650G + 8670M Dual,
Radeon HD 7660D + HD 7000 Dual,
Radeon HD 7730M,
Radeon HD 8650G + HD 7670M Dual,
GeForce 9800 GTX/9800 GTX+,89.99
Radeon HD 7610M,
Radeon HD 7640G + HD 7700M N HD 7700M Dual,
Radeon HD 7660G + 7470M Dual,
Radeon HD 8510G + HD 8500M Dual,
GRID K160Q,
Quadro FX 3800M,
Radeon HD 2900 PRO,
GeForce GT 820M,
Intel HD 4600,
Radeon HD 7640G + 7500/7600 Dual,
Radeon HD 8650G + 8500M Dual,
Radeon R7 A8 PRO-7600B,
"Radeon R5 A10-9620P RADEON R5, 10 COMPUTE CORES 4C",
Intel HD P4600/P4700,
Radeon HD 7520G + HD 8600/8700M Dual,
Radeon R5 A6-8500P,
Intel HD 515,
GeForce 810A,
GeForce GTS 240,64.99
GeForce GTX 280M,
Radeon HD 7640G + HD 7400M Dual,
Radeon HD 8570 + 8670D Dual,
Intel HD 510,
Radeon HD 8550G + R5 M200 Dual,
Radeon R5 A10-9600P 4C+6G,
GeForce GTS 250,69.99
Radeon HD 8550G + 8600M Dual,
Radeon HD 7500G + 7500M/7600M Dual,
FireGL V7600,
Radeon HD 7660G + HD 7600M Dual,
Radeon HD 7570,102.49
Radeon HD 8650G + 8600M Dual,
Radeon HD 8550G N HD 8550G + HD 8600M N HD 8600M D,
7900 MOD - Radeon HD 6520G,
Quadro K510M,
Radeon HD 8610G + 8500M Dual,
Radeon HD 7640G + HD 8500M Dual,
GeForce GT 720,99.99
Radeon HD 8650G + HD 8600M Dual,
Intel HD P4600,
"Radeon R5 A6-9400 RADEON R5, 6 COMPUTE CORES 2C+4G",
GeForce GT 430,139.99
Radeon HD 8550G + 8500M Dual,
GeForce GT 720A,
Radeon HD 8610G + 8670M Dual,
Quadro 1000M,54.5
"Radeon R5 PRO A10-8730B R5, 10 COMPUTE CORES 4C+6G",
GeForce 8800 GTX,119.99
Radeon HD 8510G + 8500M Dual,
Radeon R5 M330,
Radeon HD 7640G + 7470M Dual,
GeForce GT 735M,
Radeon HD 8550G + HD 8600M Dual,
GeForce 8800 GTS 512,
Radeon HD 7520G + 7600M Dual,
Radeon HD 7640G + HD 7700M Dual,
Radeon HD 8610G + 8600M Dual,
Radeon HD 7520G + 7610M Dual,
Radeon HD 7660G + 7400M Dual,
Radeon HD 7660G + 8670M Dual,
Radeon HD 7640G + HD 8600/8700M Dual,
Radeon HD 7640G + 8500M Dual,
Radeon HD 8650G + HD 8670M Dual,
Intel HD 5500,
Radeon HD 7520G + 7500/7600 Dual,
GeForce GT 550M,
"Radeon R5 A10-9630P RADEON R5, 10 COMPUTE CORES 4C",
Radeon HD 8550G + 8670M Dual,
GeForce 910M,
Radeon HD 8450G + R5 M230 Dual,
Radeon HD 8610G + HD 8670M Dual,
Intel Skylake HD DT GT2,
Radeon HD 7620G + 8670M Dual,
Radeon HD 3870,69.99
Radeon R5 A240,
Radeon R7 M265,
Radeon HD 7520G + HD 7700M Dual,
Radeon HD 7520G N HD 7520G + HD 7500/7600 7500/760,
Radeon HD 8450G + HD 8670M Dual,
Radeon R5 420,39.95
Intel i gfx-driver-ci-master-9938 DCH-I,
Radeon R6 M255DX,
"Radeon R6 PRO A8-8600B R6, 10 Compute Cores 4C+6G",
Radeon R6 + R7 M265DX Dual,
GeForce GTS 250M,
Radeon HD 7560D + 6450 Dual,
GeForce 820A,
Radeon HD 6610M,
Radeon HD 7650A,262
GeForce GT 635M,
Intel HD 5000,625
Radeon HD 7560D + R5 235 Dual,
Quadro FX 5600,295
Radeon R7 A10 PRO-7800B,
Radeon HD 7640G + R5 M200 Dual,
Radeon HD 8550G + HD 8500M Dual,
Radeon HD 7640G + 8570M Dual,
Radeon HD 7640G + 8670M Dual,
Radeon HD 7600G + HD 7500M/7600M Dual,
GF117,
GeForce 615,
Radeon R7 M360,
Radeon R7 7850A10-7850K,
FireGL V8650,298.99
GeForce GT 630M,
Radeon R5 M335,
Mobility Radeon HD 3870,
Radeon HD 8670D,
FirePro 3D V5700,319.99
Quadro 600,76
Radeon HD 8550G + HD 8670M Dual,
FirePro 3D V7750,350
Radeon HD 7520G + HD 7400M Dual,
Radeon HD 8450G + 8600M Dual,
Mobility Radeon HD 5570,
Radeon HD 7600G + HD 8670M Dual,
GeForce GT 240,160.97
Quadro FX 2700,
Radeon HD 7520G + 7470M Dual,
Radeon R6 A10-8700P,
GeForce 9800 GTX+,
KV SPECTRE LITE MOBILE 25W,
Radeon R6 PRO A10-8700B 4C+6G,
GRID K180Q,
NVS 5200M,
Radeon HD 7560D + HD 7000 Dual,
Radeon HD 8550G + 8570M Dual,
RADEON HD6530D,
Radeon R6 PRO A8-8600B 4C+6G,
Radeon HD 8550G + HD 8570M Dual,
Radeon HD 7640G + 6400M Dual,
Radeon HD 7600G N HD 7600G + HD ON HD Dual,
Radeon HD 8650D,
"Radeon R6 PRO A10-8700B R6, 10 Compute Cores 4C+6G",
Radeon HD 7660D + R5 235 Dual,
Radeon HD 7520G + 7670M Dual,
GeForce GT 435M,
Intel HD 4400,
MCT USB3.0 External Device,
Radeon HD 8670M,
Radeon R5 240,85
GeForce 8800 GT,69.99
Radeon HD 7640G + HD 7670M Dual,
GeForce GT 425M,
IncrediblE HD 4000,
Intel HD P4000,
A10-8700P,
Radeon 6600M,
Radeon R5 330,339.99
Mobility Radeon HD 4830,
GeForce 820M,
Radeon HD 7640G + 7610M Dual,
Radeon HD 7600G + HD 7550M Dual,
Radeon HD 7620G + 8600M Dual,
Radeon R5 PRO A6-8500B 2C+4G,
Radeon HD 7620G + HD 8670M Dual,
GeForce 9600 GT,64.99
GeForce GTS 150M,
Radeon HD 7660D,
Radeon HD 8450G + HD 8750M Dual,
Radeon R7 M265DX,
SUMO 964A,
TRINITY SCRAPPER MOBILE,
Radeon HD 7500G + 7550M Dual,
ASUS EAH4870x2,
Radeon HD 6570,63.81
Radeon R5 M255,
Radeon HD 7520G + HD 7670M Dual,
GeForce GT 540M,87.95
GeForce GT625M,
Radeon Vega 2,
Radeon HD8530M,
Radeon HD 8670D N HD 8670D + HD 8670D Dual,
Radeon HD 8550G + R5 M230 Dual,
Mobility Radeon HD 5730,
Radeon HD 7520G + 7400M Dual,
Radeon R4E,
Radeon HD 7670M,629.99
GeForce 9800 GT,74.99
Radeon HD 8610G + HD 8600M Dual,
Quadro K500M,
Mobility Radeon HD 5000 Serisi,
Radeon HD 8650G,
Mobility Radeon HD 3870 X2,
Radeon HD 7660G,
Radeon R5 M315,
Radeon HD 7640G + HD 8570M Dual,
Radeon HD 8450G + 8670M Dual,
Radeon R6 A8-8600P,
Radeon HD 5570,163.99
"Radeon R5 PRO A6-9500B R5, 6 COMPUTE CORES 2C+4G",
FirePro 3D V3800,149.99
Radeon HD 7560D,
Radeon HD 8570D + R5 235 Dual,
Radeon HD 7600G + 8500M/8700M Dual,
Radeon R5 M420,
Quadro FX 1800M,
GeForce 800M,
GeForce GT 720M,
Quadro FX 3600M,
Quadro FX 3700M,925
Radeon HD 7660D + 7470 Dual,
Radeon HD 8690A,
SUMO 9644,
FirePro V5700,188.06
Radeon HD 7550M,
Mobility Radeon HD 4670,
GeForce 8800M GTX,
GeForce 9800M GTX,328.5
GeForce 9800M GS,
GeForce GT 525M,
Radeon HD 7660G + HD 7600M N HD 7600M Dual,
GeForce 705M,
Radeon HD 7520G + 7650M Dual,
HIS DIGITAL HD 4650 AGP,
Radeon HD 7620G N HD 7620G + HD 8600M N HD 8600M D,
Radeon HD 8450G + HD 8600M Dual,
Radeon R7 M260,799
GeForce 710A,
Intel HD Family,
Mobility Radeon HD 5650,
Radeon HD 7650M,
GeForce 710M,
Qualcomm Adreno 680 GPU,
Radeon HD 7640G,
Radeon HD 7520G + HD 7600M Dual,
Radeon HD 7660G + 8600M Dual,
PHDGD Ivy 5,
Radeon HD 7570M,
GeForce GT 320,32.69
GeForce GT 710M,
Radeon HD 7620G + HD 8600M Dual,
Radeon HD 8350G,
GeForce 8800 GTS,79.99
Quadro FX 4600,333.25
Quadro 410,129
GeForce GT 625M,
Radeon HD 7600G + HD Dual,
Radeon HD 8410G,
Radeon HD 8570D,
Quadro FX 2800M,190
Radeon HD 3850 AGP,
Radeon R5 M240,
GeForce GT 620M,
GeForce 800A,
GeForce 9800M GT,
Radeon HD 7640G + HD 7500/7600 Dual,
Radeon HD 7600G + 7550M Dual,
Radeon HD 7640G N HD 7640G + HD 8570M Dual,
RADEON HD6410D,
GeForce GT 330,39.99
Radeon HD 8570M,
Intel 4th Generation Haswell HD,
GeForce GT 420M,
Radeon R5 M320,
Radeon HD 6550D,
Radeon HD 8610G,
GeForce GTX 260M,
GeForce GT 420,155
Radeon HD 3850,
GeForce GTS 350M,
Radeon HD 7470M,
Radeon HD 7640G + HD 7600M N HD 7600M Dual,
FirePro M2000,
Radeon HD 7600G + 7500M/7600M Dual,
Quadro FX 1800,135
RADEON E4690,
Radeon HD 8550G,
GeForce 810M,
Mobility Radeon HD 4650,
GeForce GT 335M,
Radeon HD 8500M,
Radeon R5 Opteron X3216,
Radeon R5 M230,
Radeon HD 7600G + 7450M Dual,
IncrediblE HD,
Intel HD 5300,
GeForce 7900 GTX,
Quadro FX 3700,213.27
Radeon HD 4670,142.96
Radeon HD 5550,54.99
GeForce 8800M GTS,
GeForce 9800M GTS,
Radeon HD 6490M,1193.03
Radeon HD 7520G + 8750M Dual,
Radeon HD 7600G + 6400M Dual,
PHDGD Ivy 4,
Radeon HD 8570D + HD8490 Dual,
Intel UHD 605,
GeForce GT 610M / GT 620M / GT 710M / GT 720M / GT,
Matrox Millennium P690 PCIe x16,
Mobility Radeon HD 3850,
Radeon HD 7620G,
Radeon HD4670,
GeForce GT 620,154
Radeon HD 7520G N HD 7520G + HD 7600M N HD 7600M D,
Radeon HD 7660G + HD 8600M Dual,
Radeon HD 8470D,
Radeon HD 8450G,
Radeon HD 8510G,
Quadro FX 2700M,99.95
Radeon HD 7500G + HD 7500M/7600M Dual,
GeForce GT 705,296.76
Radeon HD 6620G,
Mobility Radeon HD 565v,
Radeon HD 6480M,
Radeon HD 7580D,
GeForce 9600 GSO,49.99
GeForce GT 130,151.34
GeForce 9600 GSO 512,
GeForce 7950 GT,203.99
FireGL V5600,225
FirePro 3D V3750,50.88
Radeon HD 8310E,
Radeon HD 7660D + HD 7400 Dual,
Intel HD 505,
Radeon HD 8570D + HD 8470 Dual,
Radeon HD 7540D,
FirePro RG220,650.18
Intel HD 4000,1592.95
FirePro V3800,124.99
GeForce 8800 GS,
Radeon R4,396.99
Radeon R5 310,499
Radeon HD 7450M,
Radeon HD 7500G,
GeForce GT 625,
Radeon HD 7600G + HD 7400M Dual,
Radeon R5 235,60.13
Intel UHD 600,
GeForce 9700M GTS,
GeForce GT 120 / 9500 GT,
Radeon HD 6530D,
Radeon E6460,
GeForce GT 230,43.99
GeForce 240M GT,
Radeon HD 7600G,
RADEON HD6370D,
Radeon HD 8280,
Mobility Radeon HD 560v,
Radeon HD 7470,81.37
Radeon HD 7520G,
Radeon HD 7420G,
Radeon HD 7520G + 8600/8700M Dual,
Radeon HD 8370D,
Quadro FX 3500M,99.99
GeForce 605,136.83
Radeon R3,
GeForce GT 610,139.99
Radeon R1E,
Intel Q965/Q963 Express,
Radeon HD 6520G,
Radeon R5E,
GeForce GT 520,304
Intel HD P3000,
Intel HD 500,
GeForce 9600M GT / GeForce GT 220M,
GeForce GT 520MX,
GRID K120Q,
GeForce 610M,
Quadro FX 3500,68.98
Radeon HD 2900 GT,
GeForce 7800 GTX,71.6
IncrediblE HD 3000,
GeForce 7950 Xtreme,
GeForce GT 520M,29.95
Radeon HD 7450A,
GeForce GT 415M,
NVS 315,69.99
Mobile Intel HD,479.98
Radeon HD 7480D,
Mobility Radeon HD 5165,
Radeon HD 2600 XT,159
Radeon R5 235X,
GeForce 9600 GS,
Radeon HD 6370M,
Radeon HD 8400E,
GeForce 9650M GS,
GeForce Go 7900 GTX,
Radeon HD 8280G,
Qualcomm Adreno 630 GPU,
Radeon HD 5470,
Radeon HD 7400G,
GeForce GT 120M,
Mobility Radeon HD 550v,
Radeon HD 8490,89.99
GeForce Go 7950 GTX,
Radeon HD 6450A,
Radeon HD 6480G,
GeForce 7900 GT,199
Radeon HD 8400,
GeForce 510,69.99
Intel HD 3000,945
NVS 4200M,399
Radeon HD 8470,
GeForce 7900 GS,
Quadro NVS 510M,
Radeon HD 6370D,
Radeon HD 8330,
GeForce 410M,
Radeon HD 7640G + 8600M Dual,
GeForce GT 415,
CARRIZO 9874,
GeForce 7900 GT/GTO,
GeForce 7800 GT,80
Radeon HD 6410D,
NVS 310,62.06
Quadro FX 5500,1999
Radeon HD 8330E,
Radeon HD 8240,
Radeon HD 8280E,
Radeon HD4650,152.9
Radeon R2,
Radeon HD 7640G + R5 M230 Dual,
Mobility Radeon HD 5470,
Quadro FX 4500 X2,
Radeon HD 4550,156
Mobility Radeon HD 3670,
Radeon E6465,
Radeon R2E,
Radeon HD 6470M,569.99
Quadro FX 4500,169
GT 430,142.88
Radeon R5 230,81.1
HD6450,108.2
Radeon HD 7340M,
Radeon HD 7450,49.99
A6 Micro-6500T Quad-Core APU with RadeonR4,
GeForce 320M,
Mobility FireGL V5725,
Quadro FX 880M,
Radeon HD 4650,69.99
Quadro FX 2500M,17.5
GeForce 9700M GT,
Radeon HD 6320 Graphic,
Mobility Radeon. HD 5470,
Mobility Radeon HD 5450,
Intel HD 2000,
Intel 2nd Generation SandyBridge HD,
WinFast GT 610,
GeForce GT 220,39.99
Radeon HD 2600 PRO,188.44
GeForce Go 7600 GT,
GeForce Go 7800 GTX,
GeForce GT 330M,
Radeon HD 4650 AGP,
Radeon HD 8250,
Barco MXRT 1450,
Intel i gfx-driver-ci-master-9938,
Radeon R3E,
GeForce GT 240M,
Intel 2nd Generation SandyBridge HD 3000,
Quadro NVS 290,59
GeForce 7600 GT,199
Radeon HD 6380G,399.99
GeForce 7950 GX2,54.99
GeForce GT 230M,
GeForce G200,
Mobility Radeon HD 545v,
Radeon HD 6450,89
RADEON HD7450,22.25
Quadro FX 770M,527
Radeon HD 6320M,
Radeon HD 7340G,
GeForce 6800 GS,
Intel Infoshock HD,
Radeon HD 8210E,
Radeon HD 6430M,
Radeon HD 7350,
Mobility Radeon HD 2600 XT,
Mobility Radeon HD 4550,
Radeon HD 8210,
NVS 5100M,
Quadro FX 1500,115.01
Mobility Radeon HD 540v,
GeForce 505,115.06
Quadro FX 1600M,149.9
Quadro FX 3450/4000 SDI,
Quadro FX 380,72.5
Mobility Radeon HD 5430,
Radeon HD 7310G,
Barco MXRT 7100,
FireGL V3600,160.99
FirePro 3D V3700,84.99
Radeon HD 6230,
GeForce 7800 GS,
GeForce Go 7900 GS,
GeForce GT 120,29.99
Mobility Radeon HD 530v,
Radeon HD 7310 - Carte graphique,
Quadro FX 1700M,
GeForce 9200,
GeForce GT 325M,
Quadro FX 1500M,
FirePro 2460,83.99
Radeon HDG 4670,
Mobility Radeon HD 2600,
Radeon HD 7310M,
Intel HD manual-gen9_2015-133271,
Radeon HD 8350,99.81
VIA/S3G C-645/640 GPU,
GeForce 8600 GTS,241.99
GeForce 315,32.99
GeForce 7600 GS,175
GeForce 9200M GE,
GeForce 9500 GS,
Radeon HD 7340,552.69
Quadro FX 570,115
Radeon HD 4300/4500 Serisi,
Quadro FX 580,130
GeForce 8200,
Radeon HD 8180,
GeForce 305M,
Radeon HD 3670,
Radeon X1950 CrossFire Edition,
Radeon HD 3650 AGP,185
Quadro FX 3450,119.99
GeForce Go 7700,
Mobility Radeon HD 4350,
Radeon HD 6320,554.99
FirePro 2270,134
GeForce G100,19.99
ZX Chrome 645/640 GPU,
GeForce GT 130M,
Quadro 400,211
Radeon X1900 GT,
S3 5400EW,
Intel Q35 Express,
GeForce 6800 GT,
Intel Q45/Q43 Express Chipset,
Radeon HD 6300M,
EG PARK,
Radeon HD 4290,
RADEON HD 6350,59
Radeon X1800 GTO,
nForce 760i SLI,
Radeon HD 6290M,
GeForce 6800 Ultra,
Intel Haswell HD - GT2,
NVS 2100M,
GeForce Go 6800 Ultra,
Radeon HD 5450,94.96
GeForce 6600 GT,64.95
GeForce 9650M GT,117.3
Radeon X1900 CrossFire Edition,
Quadro FX 380 LP,
GeForce 7300 GT,149.99
GeForce 9500 GT,85.99
Mobility Radeon HD 4330,
Mobility Radeon HD 4570,75.9
Mobility Radeon X1900,
Radeon R5 220,85.26
EAH5450,109.99
GeForce 7650 GS,
GeForce 9800 GT 1024MB,
GeForce G102M,
GeForce 9600M GT,78.2
RadeonT,
Mobility Radeon HD 3650,73.53
MOBILITY RADEON X1800,
Radeon HD 7310,
RADEON X800 SE,
GeForce 9300 / nForce 730i,
FireGL V7300,1189.99
GeForce 6800 XT,
GeForce 8400 GS,85.97
GeForce Go 7600,
Quadro NVS 320M,
All-in-Wonder X1900,
GeForce 9300,59
Radeon HD 3300,
GeForce 205,
Seria Mobility Radeon HD 3400,
GeForce 8700M GT,
M76M,
Quadro FX 1400,245.01
Quadro FX 380M,
Intel Haswell HD - GT1,
Matrox G200e WDDM 2.0,
Radeon HD 4250,
Radeon HD 6310,
Radeon HD 7290M,
GeForce 310,108.35
GeForce 405,24.64
GeForce 9500M G,
GeForce G210M,
GeForce GT 220M,
Radeon HD 2400,88.2
Extreme AX850 PRO,
Qualcomm Adreno 540 GPU,
Qualcomm Adreno 618 GPU,
GeForce 9600M GS,
Radeon HD 2400 XT,
RV530 PRO,
Quadro FX 1700,350.14
Radeon HD 3450,89
FireMV 2260,88.08
GeForce 8600 GT,196
Mobile Intel 45 Express-Chipsatzfamilie,
PHDGD Quantic C3,
Radeon X1700 Targa Edition,
FireGL V7200,
GeForce 315M,
Radeon X1600 XT,
FireGL V5200,133.4
GeForce 8500 GT,
GeForce Go 7800,
NVS 3100M,
Radeon HD 7290,
RADEON X800 GTO,
NVS 300,62.97
Quadro FX 560,150.25
Radeon HD 2400 Pro,
FirePro 2260,
GeForce 6800,559.29
Radeon X1950 Pro,
Sapphire RADEON X800 GT,
GeForce 9400,
Intel HD Modded,
Radeon HD 4200,
FireGL V7350,119.42
GeForce 310M,
GeForce 9200M GS,
GeForce 9300 GS,59.95
Mobility Radeon HD 3400 Serisi,
Quadro FX 570M,
GeForce 6800 LE,
Radeon HD 2600 Pro AGP,
Radeon HD 4270,
VIA/S3G Chrome 645/640 GPU,
XFX Radeon HD 4650 AGP,
Radeon HD 4330,
Radeon HD 6290,
GeForce G105M,
Quadro FX 370 LP,
GeForce GT 320M,
Radeon Infoshock 3000,
GeForce Go 6800,
GeForce9400M,
Radeon X1950 GT,
GeForce 9400 GT,159.99
GeForce 9450,
Mobility Radeon X1700,
GeForce 9500M,101.2
GeForce 9500M GS,
M880G with Mobility Radeon HD 4250,
Quadro FX 3400/4400,
FireGL V3400,
GeForce 6800 GS/XT,
GeForce G210,122.12
Quadro FX 370 Low Profile,
Radeon HD 4350,102.24
GeForce 8300,22.68
Mobility Radeon HD 2400 XT,
Quadro FX Go1400,
Quadro FX 4000,
Intel Media Accelerator HD,
Radeon X1600 Pro,
GeForce 8400M GS,78.2
GeForce 9300GE,97.2
ION LE,
Mobility Radeon HD 3430,
Mobility Radeon HD 4250,
Radeon 3000,319
RADEON X800 XT,
GeForce 210,54.92
Mobility Radeon HD serie 4200,
Quadro NVS 130M,
Radeon HD 3000,
GeForce 6700 XL,
MEDION RADEON X740XL,
Matrox G200eW3 WDDM 2.0,
Mobility Radeon HD 3470 Hybrid X2,
Radeon HD 6250,
FireGL V5100,114.96
M880G with Mobility Radeon HD 4200,
Mobility Radeon HD 3470,
Mobility Radeon HD 4270,
Quadro FX 370M,
Quadro NVS 150M,
GeForce 8600 GS,
GeForce 9300M GS,43.42
GeForce G205M,
Mobility Radeon X1600,
nForce 780a SLI,
RADEON X600XT,
Mobility Radeon HD 3450,
Mobility Radeon HD 4200,
Mobility Radeon HD 2400,
Radeon HD 3470,109.65
